node,status
0,1
1,1
2,2
3,1
4,2
5,1
6,0
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,0
15,1
16,1
17,1
18,1
19,1
20,1
21,2
22,1
23,1
24,2
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,2
33,1
34,1
35,2
36,1
37,0
38,1
39,1
40,2
41,1
42,1
43,1
44,2
45,1
46,1
47,2
48,1
49,0
50,1
51,1
52,1
53,0
54,0
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,1
65,2
66,1
67,1
68,1
69,1
70,2
71,0
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,2
82,2
83,1
84,1
85,1
86,1
87,2
88,1
89,2
90,1
91,1
92,1
93,1
94,1
95,0
96,1
97,1
98,1
99,1
100,1
101,2
102,1
103,0
104,1
105,1
106,1
107,2
108,1
109,2
110,1
111,2
112,1
113,1
114,1
115,1
116,2
117,2
118,1
119,1
120,1
121,2
122,1
123,1
124,1
125,1
126,2
127,1
128,2
129,1
130,2
131,1
132,1
133,1
134,2
135,1
136,1
137,1
138,1
139,1
140,1
141,2
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,2
150,1
151,1
152,0
153,1
154,2
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,2
163,1
164,2
165,1
166,2
167,1
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,1
176,1
177,2
178,1
179,2
180,1
181,2
182,1
183,1
184,2
185,2
186,1
187,1
188,2
189,1
190,0
191,1
192,2
193,2
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,2
202,2
203,1
204,2
205,1
206,1
207,1
208,2
209,1
210,1
211,2
212,1
213,2
214,2
215,1
216,1
217,1
218,1
219,1
220,2
221,1
222,1
223,1
224,2
225,2
226,1
227,1
228,1
229,0
230,1
231,0
232,1
233,2
234,0
235,1
236,2
237,1
238,1
239,2
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,2
251,1
252,1
253,1
254,1
255,1
256,2
257,2
258,1
259,1
260,1
261,2
262,1
263,1
264,2
265,1
266,1
267,1
268,1
269,2
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,2
280,1
281,2
282,1
283,2
284,0
285,2
286,1
287,1
288,2
289,1
290,1
291,1
292,0
293,1
294,1
295,2
296,1
297,1
298,1
299,2
300,1
301,1
302,1
303,1
304,1
305,2
306,0
307,1
308,1
309,2
310,1
311,0
312,2
313,1
314,1
315,1
316,1
317,2
318,1
319,1
320,0
321,1
322,2
323,2
324,0
325,2
326,2
327,0
328,1
329,1
330,1
331,1
332,2
333,1
334,1
335,0
336,1
337,1
338,1
339,1
340,1
341,1
342,2
343,2
344,1
345,1
346,1
347,1
348,1
349,2
350,1
351,1
352,2
353,1
354,2
355,1
356,1
357,1
358,1
359,2
360,1
361,1
362,2
363,1
364,1
365,2
366,1
367,1
368,1
369,2
370,1
371,1
372,1
373,1
374,1
375,1
376,2
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,2
385,1
386,1
387,2
388,1
389,1
390,2
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,2
399,2
400,1
401,2
402,1
403,2
404,1
405,2
406,1
407,1
408,1
409,2
410,1
411,2
412,2
413,1
414,1
415,1
416,1
417,2
418,1
419,1
420,0
421,1
422,1
423,1
424,1
425,1
426,2
427,0
428,1
429,1
430,2
431,1
432,1
433,1
434,1
435,1
436,2
437,1
438,1
439,1
440,1
441,2
442,1
443,1
444,0
445,2
446,1
447,1
448,0
449,1
450,1
451,1
452,0
453,1
454,1
455,1
456,1
457,1
458,1
459,2
460,2
461,1
462,2
463,0
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,2
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,1
484,2
485,2
486,1
487,2
488,2
489,1
490,0
491,1
492,1
493,1
494,1
495,1
496,1
497,2
498,1
499,1
500,1
501,1
502,2
503,1
504,1
505,1
506,1
507,0
508,1
509,1
510,2
511,1
512,2
513,1
514,2
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,2
523,2
524,1
525,1
526,1
527,2
528,1
529,1
530,1
531,2
532,2
533,1
534,1
535,1
536,1
537,1
538,2
539,1
540,2
541,1
542,1
543,1
544,0
545,1
546,1
547,2
548,0
549,1
550,1
551,1
552,1
553,2
554,1
555,1
556,1
557,1
558,1
559,1
560,2
561,1
562,1
563,1
564,1
565,1
566,1
567,2
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,2
576,2
577,1
578,0
579,1
580,2
581,1
582,1
583,2
584,1
585,1
586,1
587,1
588,1
589,2
590,1
591,1
592,1
593,1
594,1
595,1
596,0
597,1
598,1
599,1
600,1
601,1
602,0
603,1
604,2
605,1
606,1
607,2
608,2
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,2
617,1
618,1
619,2
620,1
621,2
622,0
623,1
624,1
625,1
626,2
627,2
628,1
629,2
630,1
631,2
632,1
633,2
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,2
644,1
645,1
646,1
647,1
648,0
649,2
650,2
651,0
652,2
653,1
654,2
655,1
656,1
657,2
658,0
659,1
660,1
661,1
662,2
663,1
664,1
665,1
666,1
667,2
668,2
669,2
670,0
671,1
672,2
673,1
674,1
675,2
676,1
677,0
678,2
679,1
680,1
681,2
682,1
683,1
684,1
685,2
686,1
687,1
688,1
689,2
690,1
691,1
692,2
693,1
694,1
695,2
696,2
697,1
698,1
699,2
700,1
701,1
702,1
703,1
704,1
705,1
706,2
707,1
708,2
709,1
710,1
711,2
712,1
713,1
714,1
715,1
716,2
717,1
718,2
719,1
720,1
721,2
722,1
723,1
724,1
725,0
726,0
727,2
728,1
729,0
730,2
731,1
732,0
733,1
734,2
735,0
736,1
737,1
738,1
739,1
740,2
741,1
742,1
743,2
744,2
745,1
746,2
747,1
748,2
749,0
750,2
751,1
752,2
753,1
754,0
755,1
756,2
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,2
765,2
766,0
767,1
768,0
769,1
770,1
771,1
772,1
773,0
774,1
775,1
776,1
777,1
778,2
779,2
780,1
781,0
782,1
783,1
784,0
785,1
786,1
787,1
788,1
789,2
790,1
791,1
792,2
793,2
794,0
795,1
796,1
797,1
798,1
799,1
800,1
801,2
802,1
803,1
804,1
805,1
806,1
807,2
808,1
809,1
810,2
811,1
812,2
